Site ,Fire,Source,year_surveyed,Lat,Long,aspect,subD16,subD50,subD84,D84B,surD16,surD50,surD84,subD50range,sub_var,sur_var,obs_vol,est_perc_loss,initial_vol_est,DF_size,vol_lpred_error,vol_upred_error,obs_vol_low,obs_vol_high,Gartner 2008,G14_volmin_2yr,G14_vol_2yr,G14_volmax_2yr,G14_volmin_100yr,G14_vol_100yr,G14_volmax_100yr,cat_area,relief ,mean_cat_elev,himod_perc,himod_area,slope23_perc,avg_slope,sort_unsort,clast_matrix,strat,boulder_perc,GSD_Q,Vol_Q,dom_lith,Lith_type,2yr_storm,100yr_storm,Al2O3Ws,CaOWs,Fe2O3Ws,K2OWs,MgOWs,Na2OWs,NWs,P2O5Ws,SiO2Ws,PctAlluvCoastWs,PctEolFineWs,PctCarbResidWs,PctNonCarbResidWs,PctSilicicWs,CompStrgthWs,HydrlCondWs,AvgWetIndxWs,ClayWs,AgKffactWs,PermWs,RckdepWs,OmWs,SandWs,PctBl2011Ws,PctConif2011Ws,PctDecid2011Ws,PctGrs2011Ws,PctHay2011Ws,PctHbWet2011Ws,PctMxFst2011Ws,PctShrb2011Ws,Precip8110Ws,RunoffWs,Tmean8110Ws,WtDepWs
Tie Fork 2,"Tank Hollow Fire, 2017",Primary Fieldwork,2020,39.998112,-111.215523,,1.67,11.36,46.41,884,7.77,26.13,50.66,5.72,4.8,2.7,2200,15,2530,small,-25,35,1897.5,3415.5,,80.8419567,647.0969293,5179.667256,142.5244256,1140.832335,9131.756958,0.26,339,2256,36,0.09,47,27.48920059,unsorted,matrix,not stratified,10,4,4,shale,sedimentary,3.33,10.75,7.19,17.55,3.22,1.59,3.35,1.04,0.12,0.19,40.09374353,5.27,0,0,94.73,0,73.73,0.4,237.14,21.53,0,5,103.28,0.53,39.78,0.21,41.85,48.92,0,0,0,0.06,8.97,556.23,246.53,5.6,182.88
Trailmountain 1,"Trail Mountain, 2017",Primary Fieldwork,2020,39.424023,-111.156711,,0.02,4.27,47.35,790,2,4.3,50.2,8.9,11.21,4.65,1700,40,2380,small,-25,35,1785,3213,,199.6889158,1598.403719,12794.37288,346.1198819,2770.505835,22176.42783,1.32,569,2678,12,0.16,76,33.61119843,unsorted,matrix,stratified,10,4,3,sandstone,sedimentary,3.4,10.59,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88
Trailmountain 2,"Trail Mountain, 2017",Primary Fieldwork,2020,39.423344,-111.140594,,0.016,0.76,29.24,955,2,14.24,45,4.42,10.84,4.49,180,40,252,small,-25,35,189,340.2,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,0.1,469,2506,0,0,95,31.01519966,unsorted,matrix,stratified,15,4,3,sandstone,sedimentary,3.26,10.28,4.7,15.54,2.92,1.43,5.81,0.3,0.1,0.13,40.16686016,0,0,0,100,0,61.28,0.11,235.61,21.41,0,7.81,118.6,1.09,33.22,0.12,66.64,22.51,0,0,0,9.13,1.59,684.75,24,4.05,182.88
Trailmountain 3,"Trail Mountain, 2017",Primary Fieldwork,2020,39.404434,-111.137222,,0.64,13.68,52.17,1520,2,18.44,37.44,0.35,6.35,4.23,1370,15,1575.5,small,-25,35,1181.625,2126.925,,234.1406675,1874.171694,15001.74907,404.0137069,3233.915158,25885.77335,0.54,586,2560,42,0.23,83,28.17790031,unsorted,matrix,not stratified,10,4,4,sandstone,sedimentary,3.25,10.25,4.91,15.81,2.83,1.48,5.72,0.32,0.09,0.13,40.33012336,0,0,0,100,0,63.35,0.11,240.92,24.96,0,7.17,118.5,1.02,31.61,0.21,78.92,9.96,0.22,0,0,5.38,5.24,715.32,24,3.99,178.86
Trailmountain 4,"Trail Mountain, 2017",Primary Fieldwork,2020,39.461922,-111.180023,,0.021,0.79,20.4,530,2,2,39.98,1.69,9.92,4.32,210,30,273,small,-25,35,204.75,368.55,,155.9197145,1248.054508,9990.013509,270.9629368,2168.914404,17361.00793,0.28,501,2782,47,0.13,81,22.27659988,unsorted,matrix,not stratified,2,5,2,sandstone,sedimentary,3.5,10.81,4.79,15.46,2.91,1.46,5.81,0.3,0.1,0.13,40.37873167,0,0,0,100,0,61.58,0.11,237.33,22.74,0,7.13,119.51,1.17,31.47,0.15,45.15,39.36,0.12,0,0,6.3,8.92,751.46,24,3.56,182.16
West Valley 1,"West Valley, 2018",Primary Fieldwork,2020,37.450813,-113.437439,,0.038,2.22,6.69,413,2,4.85,14.12,0.24,7.46,2.82,50,5,52.5,small,-25,35,39.375,70.875,,124.8027162,998.9794624,7996.300052,229.7934307,1839.374373,14723.21499,0.34,326,2371,67,0.23,49,18.79859924,unsorted,matrix,not stratified,3,5,3,volcanic,igneous,5,14.45,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
West Valley 2,"West Valley, 2018",Primary Fieldwork,2020,37.448124,-113.406265,,0.84,5.85,43.16,770,2,9.65,128,0.32,5.68,6,100,20,120,small,-25,35,90,162,,156.097008,1249.473648,10001.37297,288.0057526,2305.333094,18452.96709,0.75,332,2600,52,0.39,34,23.59630013,sorted,matrix,not stratified,10,3,3,volcanic,igneous,5.1,14.66,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
West Valley 3,"West Valley, 2018",Primary Fieldwork,2020,37.449371,-113.415977,,0.04,6.72,138.84,613,2,16,43.85,12.52,11.76,4.45,230,25,287.5,small,-25,35,215.625,388.125,,259.0346228,2073.434586,16596.74269,476.8459428,3816.898526,30552.2456,1.04,421,2536,66,0.69,53,20.2,unsorted,matrix,not stratified,5,4,3,volcanic,igneous,5.15,14.7,14.65,2.85,4.9,3.58,1.37,3.54,0.03,0.15,66.55330899,1.05,0,0,0,98.95,86.68,0.15,253.86,20.9,0,6.12,58.9,0.55,47.65,0.04,89.82,0.84,0,0.12,0.02,7.59,1.4,679.79,38,6.32,182.88
Frenchy's Meadow,"Yellowstone Fires, 1988","Meyer and Wells, 1997",,45.082156,-110.16194,,0.024,0.21,3.25,,,,,,7.08,,,,,,,,,,,365.5443641,2925.988499,23420.98399,365.5443641,2925.988499,23420.98399,1.6,785,2411,87,1.39,36,26.55,,,,,,,volcanic,igneous,,,12.53,8.07,6.06,2.28,4.27,2.4,0.04,0.21,53.75300159,0,0,9.48,0,90.52,136,1.15,321.02,19.38,0,5.99,119.38,0.73,41.35,0.77,29.57,0.03,11.39,0,0.6,0.05,57.17,839.91,461.32,0.92,174.69
Slough R.S.,"Yellowstone Fires, 1988","Meyer and Wells, 1997",,45.054164,-110.149262,,0.05,0.66,4,,,,,,6.32,,,,,,,,,,,324.9897873,2601.37065,20822.5905,324.9897873,2601.37065,20822.5905,0.95,800,2614,96,0.91,72,20,,,,,,,gneiss,metamorphic,,,12.27,8.73,6,2.26,4.39,2.37,0.04,0.22,52.5360139,0,0,10.49,0.11,89.4,132.96,1.03,318.28,19.45,0,5.94,118.91,0.73,41.14,0.92,26.72,0.04,10.6,0,0.59,0.04,60.65,819.74,461.57,1,175.46
